Date,day,OpenPrice,ClosePrice,DayHigh,DayLow,Volume
23/08/2019,146,89.65149689,87.48100281,90.24500275,87.2614975,105416000
26/08/2019,147,88.34549713,88.4434967,88.5,87.17549896,61600000
27/08/2019,148,88.78649902,88.09149933,88.97000122,87.33399963,60394000
28/08/2019,149,87.75,88.21250153,88.39299774,87.20249939,48394000
29/08/2019,150,89.15000153,89.31999969,89.92749786,88.86250305,60302000
30/08/2019,151,89.87449646,88.8144989,89.98699951,88.22850037,61174000
3/09/2019,152,88.5,89.49199677,90.04000092,88.40000153,70860000
4/09/2019,153,90.25,90.03099823,90.38150024,89.81150055,46482000
5/09/2019,154,91.09750366,92.03600311,92.09999847,90.77899933,66216000
6/09/2019,155,91.91100311,91.67549896,92.03250122,91.31999969,49938000
9/09/2019,156,92.05000305,91.56749725,92.5,91.23049927,59990000
10/09/2019,157,91.13749695,91.02749634,91.29049683,90.26699829,52278000
11/09/2019,158,90.60700226,91.14949799,91.67099762,90.45400238,48656000
12/09/2019,159,91.88150024,92.17749786,92.68299866,91.71399689,56470000
13/09/2019,160,92.10050201,91.96700287,92.30599976,91.75849915,39426000
16/09/2019,161,91.2009964,90.39199829,91.28450012,90.01000214,73510000
17/09/2019,162,90.35399628,91.12750244,91.19950104,90.20500183,39648000
18/09/2019,163,90.85199738,90.8730011,91.10299683,89.77500153,50112000
19/09/2019,164,91.0510025,91.07499695,91.62850189,90.89499664,40630000
20/09/2019,165,91.08550262,89.70800018,91.53150177,89.04599762,106838000
23/09/2019,166,88.84999847,89.26499939,89.63500214,88.36599731,58446000
24/09/2019,167,89.53050232,87.08049774,89.78549957,86.77749634,92320000
25/09/2019,168,87.36799622,88.41649628,88.65000153,86.15000153,69864000
26/09/2019,169,88.13950348,86.99199677,88.16850281,86.57499695,70736000
27/09/2019,170,87.40000153,86.27249908,87.45600128,85.69100189,78144000
30/09/2019,171,86.34950256,86.79550171,86.8730011,85.46099854,52894000
1/10/2019,172,87.30000305,86.78250122,87.77999878,86.42050171,61690000
2/10/2019,173,86.38700104,85.66149902,86.44450378,85.25,66022000
3/10/2019,174,85.65000153,86.22100067,86.25,84.25299835,69364000
